start_time,end_time,playlist_title,playlist_id,video_title,video_id,chapter_title,chapter_id,content,clip_link,questions
0.0,42.0,Electrical,PLemm4hCbY93PD9g4X5LQRwQlvgiLIjNvP,3 Way Switch,LDyvcM0gcVs,3 Way Switch: Introduction,9d4c4c4a-be25-0454-f575-143687f39194,[music] oh check it out three-way switches that's what we're talking about wiring three-way switches hi i'm tim carter. And first i want to let you know a little safety note we're working with high voltage electric the same thing that you have in your own home whenever you work with electricity make sure it's turned off i don't want you to get electrocuted three-way switches can be found in many homes. And they're very useful they allow you to control a light or maybe several lights from two different locations. But the problem is they look a lot different than a regular switch a three-way switch,https://youtu.be/LDyvcM0gcVs?t=0,"['What are three-way switches used for?', 'How do three-way switches work?', 'Can anyone install three-way switches?', 'Are three-way switches commonly found in homes?', 'What safety precautions should be taken when working with high voltage electricity?']"
42.0,81.0,Electrical,PLemm4hCbY93PD9g4X5LQRwQlvgiLIjNvP,3 Way Switch,LDyvcM0gcVs,3 Way Switch: The 3 way switch,c393bc01-c14e-bbd6-2b80-2a5c39017379,The problem is they look a lot different than a regular switch a three-way switch has got three screws count them 1 2. And three plus the green grounding screw. But this black screw right here that's the really important one that we need to pay attention to a regular single pulse switch has just got two screws on it. And the green grounding screw you can see how it's very different from a three-way switch that's where the trouble begins that third wire can cause three-way switches not to work properly if you put the wires on the wrong screws i've built this little,https://youtu.be/LDyvcM0gcVs?t=42,"['What is the difference between a regular single pulse switch and a three-way switch?', 'How many screws does a three-way switch have?', 'Why is the grounding screw important for three-way switches?', 'Can three-way switches work properly if the third wire is not connected correctly?', 'What happens when you put the wrong wires on the wrong screws in a three-way switch?']"
81.0,124.0,Electrical,PLemm4hCbY93PD9g4X5LQRwQlvgiLIjNvP,3 Way Switch,LDyvcM0gcVs,3 Way Switch: How they work,162cdeff-37f0-e581-7219-04a4c5c6a858,The wires on the wrong screws i've built this little demonstration of threeway switches in my garden shed. So you can see how they work you'll never find two three-way switches this close together in real life. But here's how they work look down here you'll find this yellow wire this is where the power comes into the first three-way switch. Now notice there's a white wire that's a little thicker that leaves this switch goes over. And drops down into the second switch boox. And look what happens out of that switchbox is another yellow wire that goes up. And feeds the light that's the basic wiring diagram. And the most simplistic way to wire a three-way switch. Now let me show you the types of wire that we use to do that here are the two wires that i'm,https://youtu.be/LDyvcM0gcVs?t=81,"['What type of wire is used for the power input in a three-way switch?', 'How does the white thicker wire connect to the second switch box?', 'What happens when the yellow wire from the first switch feeds into the second switch?', 'Why can you never find two three-way switches this close together in real life?', 'What is the most simplistic way to wire a three-way switch?']"
124.0,162.0,Electrical,PLemm4hCbY93PD9g4X5LQRwQlvgiLIjNvP,3 Way Switch,LDyvcM0gcVs,3 Way Switch: Wires,ce14d49e-86bf-72aa-5d62-bf945b922849,You the types of wire that we use to do that here are the two wires that i'm using today to wire these three-way switches this is a very common cable that you'll find in your home it's got three conductors in it the white wies the neutral the black wire is the hot wire. And of course the bare copper is the ground. But look at this one this has four conductors it's got the black white bare copper. But this extra red wire this comes in really handy when you're working with three-way switches we're going to take the switches apart right. Now so i can show you how all of these wires work together to make the lights go on and,https://youtu.be/LDyvcM0gcVs?t=124,"['What are the typical types of wires used for home wiring?', 'How do three-way switches use four conductors?', 'What is the purpose of a bare copper wire in electrical wiring?', 'Why is an extra red wire useful when working with three-way switches?', 'How do the white, black, and neutral wires work together to power lights?']"
162.0,340.0,Electrical,PLemm4hCbY93PD9g4X5LQRwQlvgiLIjNvP,3 Way Switch,LDyvcM0gcVs,3 Way Switch: Wiring,241b2b81-a810-89f7-afad-bd3f8feeaeec,Wires work together to make the lights go on. And off oh look at this jumble of wires in here i know you're confused. But look how simple this really is remember this yellow wire has got a black wire which is the hot that's the one that's coming from your service panel it's got a white wire that's the neutral. And of course it's got the bare copper wire. And this white wire had the same three wires plus it had a red wire. Now look how they all actually hook up the white wires the neutral wires they need to just be wire nutted together because that's sending the neutral directly up to the light bulb that's what you want it to do the only wires that need to connect to the three-way switch are the black wires. And that red wire. Now the ground wire same thing the ground wires are just twisted together. And of course one of the wires attaches to the ground screw on the actual three-way switch that means. Now we're only left with three wires. Now look at this here is that black screw on the three-way switch i was telling you about. And this black wire actually is the hot wire that comes from the circuit breaker panel it connects to the black screw. And the black. And red wire that are in this white wire that goes between the two three-way switches you can hook them to either one of the brass screws on the three-way switch it doesn't make any difference at all. Now let's go look at the other switch. So we can see how that one's wired h okay here's the second three-way switch i'm going to pull it apart. And i'm going to show you the wires in this one. And you're going to find out something very amazing it looks identical to the first three-way switch check this out here are the two black wires. And the red wire. And of course the grounding wires. And then back in here are the other two neutrals that were wi nuted together. So what's happening we've got power that's eventually going to come in through this white wire. And it's going to come into either the red wire or the black wire. And then it's going to leave the top of the switch through this black wire which is actually inside the yellow one. And go right up to the light to make it work it's that simple. So let's look at this switch one more time okay here is the second three-way switch notice here on the silver screw here's one of the black wires. And here is the red wire that's going through this white wire back to the other 3a switch here is the black screw or the common. And that black wire goes up to the light through the yellow wire here of course is our two neutrals that are wire nuted together. And of course the ground screw. And the ground wire are connected together right here at the bottom of the switch you probably feel like a master,https://youtu.be/LDyvcM0gcVs?t=162,"['What type of wires do three-way switches use?', 'How do white wires connect to three-way switches?', 'Why do black and red wires need to be connected to brass screws?', 'What happens when power comes into a three-way switch?', 'How are neutrals connected in a three-way switch?']"
340.0,389.0,Electrical,PLemm4hCbY93PD9g4X5LQRwQlvgiLIjNvP,3 Way Switch,LDyvcM0gcVs,3 Way Switch: Summary,2e5bbf59-d764-e17d-69c9-b9454cd4054f,Together right here at the bottom of the switch you probably feel like a master electrician. Now that you've understood three-way switches remember keep the power off at your home let's summarize very quickly the black screw on the three-way switches only connect the wire from the panel the hot wire to it or the wire that goes up to the light the other two brass screws you hook the travelers to it those were the black. And the red wire in my example or in your case it just might be two black wires in your electric boxes be safe i'm tim carter for askthebuilder.com [music],https://youtu.be/LDyvcM0gcVs?t=340,"['What is the purpose of the black screw on a three-way switch?', 'How does the black screw connect to the wires?', 'What are the travelers connected to on a three-way switch?', 'Why is it important to keep the power off at home when working with switches?', 'What type of wire connects to the brass screws on a three-way switch?']"
0.0,45.0,Basements,PLh0KqGKtX4oWUr5nKO6U9y-otNi6OA0ud,A Good Way To Insulate Your Basement Walls,cCFFuL4J0jQ,A Good Way To Insulate Your Basement Walls: Intro,ac9766ef-68d8-2937-832e-9d7b62b34f5c,Hi i'm shannon. And i'm back here from host improvements.com. And in today's video it's more of an informative video  showing you  what i' consider to be kind of  one of the better ways to insulate your basement walls  obviously i think probably spray foam is probably would be the number one way to do it  unfortunately the cost of it  a lot of people can't can't afford to do it that way. So this would be kind of what i would consider to be the next best thing. And it's it's a little bit of a hybrid of of foam. And bad insulation. So so you've obviously got you know bare concrete wall right you've either demoed your basement or maybe it was never developed. So you've got a a concrete wall this just happens to been painted at one time. But so bare concrete then,https://youtu.be/cCFFuL4J0jQ?t=0,"['What is the recommended method for insulating basement walls?', 'Why is spray foam insulation considered the number one option?', 'What are some alternatives to spray foam insulation?', 'How does hybrid insulation work?', 'What is a bare concrete wall and how is it typically prepared for insulation?']"
45.0,85.0,Basements,PLh0KqGKtX4oWUr5nKO6U9y-otNi6OA0ud,A Good Way To Insulate Your Basement Walls,cCFFuL4J0jQ,A Good Way To Insulate Your Basement Walls: Rigid Foam,3f278f2c-b763-e731-cdf9-05dbb2b28e3a,Wall this just happens to been painted at one time. But so bare concrete. Then what i would do is attach rigid foam usually 1 in rigid foam interlocking styrofoam to the wall rate to the concrete wall seal all the joints of that foam anywhere that needs to be sealed to to create a barrier. So this does two things it gives you some r value in this case 1 in  usually gives you r5 with most brands. And it actes your moisture barrier as well okay. So we have other videos as far as how to attach this. And talking about moisture barriers. And that sort of thing. So if you need some more information on that just check for those videos okay. So you've you've installed the rigid foam,https://youtu.be/cCFFuL4J0jQ?t=45,"['What type of material is used to seal joints in the rigid foam barrier?', 'How does the 1-inch rigid foam interlocking styrofoam provide R-value?', 'What is the typical R-value provided by a 1-inch rigid foam?', 'Why is moisture barrier installation important in construction?', 'Can you recommend any videos on installing and using moisture barriers?']"
85.0,150.0,Basements,PLh0KqGKtX4oWUr5nKO6U9y-otNi6OA0ud,A Good Way To Insulate Your Basement Walls,cCFFuL4J0jQ,A Good Way To Insulate Your Basement Walls: Framing,03e9f53f-6f77-0438-f247-ba4feb4a9dcd,Just check for those videos okay. So you've you've installed the rigid foam. And it's all sealed up. Then you're going to frame your walls  i i like to use for my bottom plate i like to use a bluewood framing or pressure treated even because it is in contact with the concrete floor okay. So your bottom plate i usually stick frame because i find in basements you know the floor is up. And down a little bit. And by stick framing i mean i'll attach my bottom plate. And my top plates. And i'll measure every stud. And cut each one to fit. And then toenail them in toenailing them in is firing a nail or a screw on an angle from the side through the stud. So it would come through like this. And down into the plate. Now you've heard me preach many times about not using screws to frame this is not structural framing this isn't holding your house up screws would be perfectly fine here i i've chosen to nail this. But you could use deck screws here without any issues  if you're using a pressure treated bottom plate or or pressure treated lumber you'd want to make sure you're using the acq screws though okay. So you' frame your wall,https://youtu.be/cCFFuL4J0jQ?t=85,"['What type of framing material is recommended for basement construction?', 'Why is toenailing preferred over screwing in structural framing?', 'Can deck screws be used instead of nails for framing?', 'What type of screws should be used with pressure-treated lumber?', 'How do you ensure a secure connection between studs and top plates?']"
150.0,185.0,Basements,PLh0KqGKtX4oWUr5nKO6U9y-otNi6OA0ud,A Good Way To Insulate Your Basement Walls,cCFFuL4J0jQ,A Good Way To Insulate Your Basement Walls: Installation,d9370127-8e6c-900d-6158-58b7eca68d20,Make sure you're using the acq screws though okay. So you' frame your wall  electrician would come in run all their electrical  you know if there happen to be some plumbing or whatever anyways the other trades would run what they needed to run. Then then you could install bad insulation whatever brand or type that you choose to do. So it would get installed. And then. Then finally after that after that's all done. Then you're going to need to use a vapor barrier as well okay. So it would go on this one isn't completed it's not all sealed. But it would go on. And be sealed up this this video is more about the,https://youtu.be/cCFFuL4J0jQ?t=150,"['What type of insulation should be used in a wall framing project?', 'How does a vapor barrier function in a building construction process?', 'What trades typically run their respective lines during a home renovation?', 'Why is it necessary to use acq screws for wall framing?', 'When and how is the vapor barrier applied in a completed wall frame?']"
